id,name,primary_attr,attack_type,roles,img,icon,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_mr,base_attack_min,base_attack_max,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,attack_range,projectile_speed,attack_rate,base_attack_time,attack_point,move_speed,turn_rate,cm_enabled,legs,day_vision,night_vision,localized_name,1_pick,1_win,2_pick,2_win,3_pick,3_win,4_pick,4_win,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,turbo_picks,turbo_picks_trend,turbo_wins,turbo_wins_trend,pro_pick,pro_win,pro_ban,pub_pick,pub_pick_trend,pub_win,pub_win_trend,gold_per_min,xp_per_min,kills_per_min,last_hits_per_min,hero_damage_per_min,hero_healing_per_min,tower_damage
1,npc_dota_hero_antimage,agi,Melee,"Carry,Escape,Nuker",/apps/dota2/images/dota_react/heroes/antimage.png?,/apps/dota2/images/dota_react/heroes/icons/antimage.png?,120,1.0,75,0.0,1,25,29,33,21,24,12,1.6,2.8,1.8,150,0,1.4,100,0.3,310,,True,2,1800,800,Anti-Mage,21219,10848,65913,33889,87467,45203,88885,45648,70926,36517,45392,23277,28349,14571,14670,7480,151924,"20423,20454,20692,23299,26743,26016,14297",79244,"10626,10707,10892,12285,13844,13514,7376",192,78,619,456581,"61287,61215,62512,68458,78875,79559,44675",234403,"31447,31462,32147,34998,40516,40806,23027",629,876,0.2200488997555012,8.047904191616766,555.4615384615385,0.0,5280
2,npc_dota_hero_axe,str,Melee,"Initiator,Durable,Disabler,Carry",/apps/dota2/images/dota_react/heroes/axe.png?,/apps/dota2/images/dota_react/heroes/icons/axe.png?,120,2.5,75,0.0,0,25,31,35,25,20,18,2.8,1.7,1.6,150,900,1.7,100,0.4,315,,True,2,1800,800,Axe,25490,13558,75534,39374,96124,49348,95444,48734,73018,37176,45573,23146,26709,13452,11513,5770,164799,"22177,23169,22525,25198,28584,28275,14871",84998,"11454,11992,11615,12948,14742,14591,7656",311,139,253,487559,"67633,66974,68194,72459,84065,83433,44801",250762,"35094,34340,35092,37247,43076,42866,23047",493,687,0.23121387283236994,4.479953515398025,705.4108956602031,0.0,743
3,npc_dota_hero_bane,all,Ranged,"Support,Disabler,Nuker,Durable",/apps/dota2/images/dota_react/heroes/bane.png?,/apps/dota2/images/dota_react/heroes/icons/bane.png?,120,0.25,75,0.0,1,25,24,30,23,23,23,2.7,2.7,2.7,400,900,1.7,100,0.3,305,,True,4,1800,1200,Bane,3736,1760,9679,4446,11772,5672,11861,5879,9425,4741,6467,3344,4485,2324,2692,1412,33100,"4316,4323,4727,5203,5808,5797,2926",15326,"1986,1993,2179,2415,2747,2665,1341",82,51,51,68071,"9017,9042,9504,10380,12089,11910,6129",33307,"4377,4507,4580,5049,5963,5800,3031",328,540,0.10594467333725721,1.0607434270172258,389.4069192751235,0.0,376
4,npc_dota_hero_bloodseeker,agi,Melee,"Carry,Disabler,Nuker,Initiator",/apps/dota2/images/dota_react/heroes/bloodseeker.png?,/apps/dota2/images/dota_react/heroes/icons/bloodseeker.png?,120,0.25,75,0.0,2,25,35,41,24,24,17,2.7,3.1,2.0,150,900,1.7,100,0.43,285,,True,2,1800,800,Bloodseeker,11475,5937,22807,11686,22046,11173,19416,9882,13298,6732,7619,3886,4272,2178,1851,914,62537,"8708,8615,8910,9425,10708,10755,5416",30948,"4291,4308,4456,4681,5333,5246,2633",62,30,68,123344,"17089,17060,17328,18054,20751,21438,11624",62672,"8630,8712,8741,9242,10503,10975,5869",544,771,0.2206783816918676,5.736607142857142,690.6628895184136,0.0,2460
5,npc_dota_hero_crystal_maiden,int,Ranged,"Support,Disabler,Nuker",/apps/dota2/images/dota_react/heroes/crystal_maiden.png?,/apps/dota2/images/dota_react/heroes/icons/crystal_maiden.png?,120,0.25,75,0.0,0,25,30,36,17,16,18,2.2,1.8,3.3,600,900,1.7,100,0.45,280,,True,2,1800,800,Crystal Maiden,21763,11417,54892,27797,64027,31485,61419,30261,46795,22797,29869,14659,18229,8950,9405,4663,142782,"19509,19066,19910,21430,25095,25148,12624",71688,"9715,9587,9916,10833,12711,12561,6365",259,123,51,335482,"46013,45609,46080,49615,58442,58505,31218",167040,"22882,22810,22799,24731,29172,29224,15422",349,549,0.09498680738786279,1.5268614514608858,399.1704686851929,0.0,353
6,npc_dota_hero_drow_ranger,agi,Ranged,"Carry,Disabler,Pusher",/apps/dota2/images/dota_react/heroes/drow_ranger.png?,/apps/dota2/images/dota_react/heroes/icons/drow_ranger.png?,120,0.25,75,0.0,0,25,29,36,16,22,15,1.9,2.9,1.4,625,1250,1.7,100,0.5,310,0.7,True,2,1800,800,Drow Ranger,25408,12465,60675,30328,74704,37839,74428,37834,57301,29205,36294,18587,21463,10769,9133,4536,224700,"30851,30831,31321,33727,38794,39014,20162",118858,"16273,16311,16690,17872,20380,20591,10741",209,101,207,398797,"54511,54404,54625,58996,69060,69119,38082",200961,"27344,27553,27544,29950,34571,34851,19148",566,736,0.20719424460431657,6.6073871409028735,663.0534351145038,0.0,5754
7,npc_dota_hero_earthshaker,str,Melee,"Support,Initiator,Disabler,Nuker",/apps/dota2/images/dota_react/heroes/earthshaker.png?,/apps/dota2/images/dota_react/heroes/icons/earthshaker.png?,120,1.0,75,0.0,2,25,27,37,22,12,18,3.7,1.4,2.1,150,0,1.7,100,0.467,315,0.9,True,2,1800,800,Earthshaker,25503,12421,69720,34026,92062,45665,99920,50268,86183,43868,60212,31204,40526,21173,22314,11725,226520,"32157,30280,31688,34864,38967,38065,20499",109343,"15339,14503,15363,16881,19000,18281,9976",358,170,291,539214,"73698,73524,75449,80331,92314,91331,52567",271491,"36887,36649,38018,40737,46452,46212,26536",468,737,0.1700921332388377,4.137931034482759,639.8787419477075,0.0,1009
8,npc_dota_hero_juggernaut,agi,Melee,"Carry,Pusher,Escape",/apps/dota2/images/dota_react/heroes/juggernaut.png?,/apps/dota2/images/dota_react/heroes/icons/juggernaut.png?,120,0.5,75,0.0,0,25,22,24,20,34,14,2.0,2.8,1.4,150,0,1.4,110,0.33,300,,True,2,1800,800,Juggernaut,27745,14397,77613,40813,102061,54106,102616,54999,79274,42614,49234,26343,29009,15173,11849,6177,234087,"31912,31291,32285,35046,40800,41048,21705",124650,"16915,16635,17144,18641,21778,21947,11590",224,112,154,523678,"70616,70242,71990,76900,91319,91336,51275",277648,"37357,37195,38051,40796,48448,48521,27280",614,817,0.2386117136659436,7.509293680297398,708.6152219873151,122.06106870229006,5873
9,npc_dota_hero_mirana,agi,Ranged,"Carry,Support,Escape,Nuker,Disabler",/apps/dota2/images/dota_react/heroes/mirana.png?,/apps/dota2/images/dota_react/heroes/icons/mirana.png?,120,0.25,75,0.4,-2,25,22,28,20,26,22,2.2,3.1,1.9,630,900,1.7,100,0.35,285,,True,2,1800,800,Mirana,8819,4499,26385,13292,33938,16987,33972,17204,25936,13259,16135,8210,9810,5141,4549,2295,76978,"10460,10516,10612,11518,13251,13467,7154",39881,"5444,5423,5509,5967,6892,6944,3702",90,47,26,175025,"24420,24332,24365,25835,30060,29388,16625",88688,"12495,12267,12247,13139,15209,14934,8397",388,584,0.126984126984127,2.587666263603386,410.2880658436214,0.0,847
10,npc_dota_hero_morphling,agi,Ranged,"Carry,Escape,Durable,Nuker,Disabler",/apps/dota2/images/dota_react/heroes/morphling.png?,/apps/dota2/images/dota_react/heroes/icons/morphling.png?,120,0.5,75,0.5,-2,25,12,21,23,24,19,3.2,3.9,1.8,350,1300,1.5,100,0.5,285,0.7,True,0,1800,800,Morphling,11973,5988,37250,18464,52130,26071,60051,30435,53708,27185,40836,20889,30071,15645,20521,10837,117248,"15693,16031,16702,18173,20526,18989,11134",56787,"7588,7725,8114,8862,9958,9153,5387",327,175,646,323900,"43621,43773,44917,48565,55943,53790,33291",164071,"21990,21978,22829,24592,28425,27097,17160",609,796,0.20364870598218074,7.695004382120946,608.2011724776304,21.54484519629748,8085
